AKOATS_ID,sampleDate,sampleTime,Temperature,Duplicate_Sensor,UseData
1664,6/18/2015,15:00:00,13.305,0,1
1664,6/18/2015,15:15:00,13.497,0,1
1664,6/18/2015,15:30:00,13.714,0,1
1664,6/18/2015,15:45:00,13.906,0,1
1664,6/18/2015,16:00:00,14.122,0,1
1664,6/18/2015,16:15:00,14.242,0,1
1664,6/18/2015,16:30:00,14.409,0,1
1664,6/18/2015,16:45:00,14.481,0,1
1664,6/18/2015,17:00:00,14.529,0,1
1664,6/18/2015,17:15:00,14.601,0,1
1664,6/18/2015,17:30:00,14.649,0,1
1664,6/18/2015,17:45:00,14.697,0,1
1664,6/18/2015,18:00:00,14.697,0,1
1664,6/18/2015,18:15:00,14.697,0,1
1664,6/18/2015,18:30:00,14.649,0,1
1664,6/18/2015,18:45:00,14.601,0,1
1664,6/18/2015,19:00:00,14.505,0,1
1664,6/18/2015,19:15:00,14.409,0,1
1664,6/18/2015,19:30:00,14.29,0,1
1664,6/18/2015,19:45:00,14.146,0,1
1664,6/18/2015,20:00:00,13.978,0,1
1664,6/18/2015,20:15:00,13.81,0,1
1664,6/18/2015,20:30:00,13.642,0,1
1664,6/18/2015,20:45:00,13.449,0,1
1664,6/18/2015,21:00:00,13.257,0,1
1664,6/18/2015,21:15:00,13.04,0,1
1664,6/18/2015,21:30:00,12.823,0,1
1664,6/18/2015,21:45:00,12.606,0,1
1664,6/18/2015,22:00:00,12.389,0,1
1664,6/18/2015,22:15:00,12.171,0,1
1664,6/18/2015,22:30:00,11.929,0,1
1664,6/18/2015,22:45:00,11.686,0,1
1664,6/18/2015,23:00:00,11.443,0,1
1664,6/18/2015,23:15:00,11.2,0,1
1664,6/18/2015,23:30:00,10.98,0,1
1664,6/18/2015,23:45:00,10.761,0,1
1664,6/19/2015,00:00:00,10.565,0,1
1664,6/19/2015,00:15:00,10.345,0,1
1664,6/19/2015,00:30:00,10.149,0,1
1664,6/19/2015,00:45:00,9.977,0,1
1664,6/19/2015,01:00:00,9.78,0,1
1664,6/19/2015,01:15:00,9.608,0,1
1664,6/19/2015,01:30:00,9.435,0,1
1664,6/19/2015,01:45:00,9.238,0,1
1664,6/19/2015,02:00:00,9.064,0,1
1664,6/19/2015,02:15:00,8.891,0,1
1664,6/19/2015,02:30:00,8.717,0,1
1664,6/19/2015,02:45:00,8.543,0,1
1664,6/19/2015,03:00:00,8.394,0,1
1664,6/19/2015,03:15:00,8.22,0,1
1664,6/19/2015,03:30:00,8.07,0,1
1664,6/19/2015,03:45:00,7.92,0,1
1664,6/19/2015,04:00:00,7.795,0,1
1664,6/19/2015,04:15:00,7.645,0,1
1664,6/19/2015,04:30:00,7.544,0,1
1664,6/19/2015,04:45:00,7.419,0,1
1664,6/19/2015,05:00:00,7.293,0,1
1664,6/19/2015,05:15:00,7.192,0,1
1664,6/19/2015,05:30:00,7.066,0,1
1664,6/19/2015,05:45:00,6.99,0,1
1664,6/19/2015,06:00:00,6.889,0,1
1664,6/19/2015,06:15:00,6.788,0,1
1664,6/19/2015,06:30:00,6.712,0,1
1664,6/19/2015,06:45:00,6.661,0,1
1664,6/19/2015,07:00:00,6.611,0,1
1664,6/19/2015,07:15:00,6.56,0,1
1664,6/19/2015,07:30:00,6.56,0,1
