Lake,startYear,endYear
aleknagik,2008,2008
Aleknagik,2006,2020
Beverley,2006,2020
Black Lake,2006,2012
Chignik Lake,2006,2020
Hidden Lake,2006,2019
Iliamna,2006,2020
Kulik,2006,2020
Little Togiak,2006,2020
Lynx,2006,2006
Nerka,2006,2020
