Agency_ID,day_start,day_end,year,Notes
Bonanza Creek,169,169,2015,
Bonanza Creek,278,366,2015,
Bonanza Creek,0,166,2016,
Tazimina River,0,87,2016,
mutsk02,30,43,2015,
mutsk02,333,361,2016,
mutsk02,0,77,2017,
mutsk09,348,365,2013,
mutsk09,43,75,2014,
muekm23,344,347,2013,
muekm23,61,75,2014,
